Trial: 1 estimated 3, Trial: 1 actual 3, 
0.375, 0.500824, 
0.439453, 0.375305, 
0.414245, 0.409668, 
0.426393, 0.427246, 
0.420882, 0.413177, 
0.423463, 0.415985, 
0.422271, 0.418152, 
0.422825, 0.416107, 
0.422568, 0.409515, 
0.422688, 0.416992, 
0.422632, 0.418579, 
0.422658, 0.411926, 
0.422646, 0.419159, 
0.422651, 0.413727, 
0.422649, 0.421143, 
0.42265, 0.409607, 
0.42265, 0.418762, 
0.42265, 0.416351, 
0.42265, 0.408813, 
0.42265, 0.420563, 
0.42265, 0.41098, 
0.42265, 0.415131, 
0.42265, 0.417114, 
0.42265, 0.415588, 
0.42265, 0.416351, 
0.42265, 0.419556, 
0.42265, 0.41272, 
0.42265, 0.412048, 
0.42265, 0.41275, 
0.42265, 0.41568, 
0.42265, 0.415527, 
0.42265, 0.416809, 
0.42265, 0.414917, 
0.42265, 0.418701, 
0.42265, 0.411896, 
0.42265, 0.419006, 
0.42265, 0.422211, 
0.42265, 0.412018, 
0.42265, 0.412933, 
0.42265, 0.42038, 
0.42265, 0.420685, 
0.42265, 0.414368, 
0.42265, 0.41568, 
0.42265, 0.412323, 
0.42265, 0.418335, 
0.42265, 0.417145, 
0.42265, 0.415588, 
0.42265, 0.415466, 
0.42265, 0.421387, 
0.42265, 0.411316, 
0.42265, 0.417908, 
0.42265, 0.416901, 
0.42265, 0.413055, 
0.42265, 0.419128, 
0.42265, 0.414154, 
0.42265, 0.414581, 
0.42265, 0.412415, 
0.42265, 0.416656, 
0.42265, 0.413147, 
0.42265, 0.415009, 
0.42265, 0.421967, 
0.42265, 0.413544, 
0.42265, 0.415405, 
0.42265, 0.418793, 
0.42265, 0.409912, 
0.42265, 0.418732, 
0.42265, 0.412964, 
0.42265, 0.415894, 
0.42265, 0.414764, 
0.42265, 0.418671, 
0.42265, 0.417206, 
0.42265, 0.41745, 
0.42265, 0.417816, 
0.42265, 0.420288, 
0.42265, 0.410461, 
0.42265, 0.416351, 
0.42265, 0.415436, 
0.42265, 0.419312, 
0.42265, 0.410522, 
0.42265, 0.418335, 
0.42265, 0.416809, 
0.42265, 0.41098, 
0.42265, 0.418182, 
0.42265, 0.417694, 
0.42265, 0.415192, 
0.42265, 0.419006, 
0.42265, 0.411926, 
0.42265, 0.414001, 
0.42265, 0.417175, 
0.42265, 0.415405, 
0.42265, 0.413544, 
0.42265, 0.415344, 
0.42265, 0.417328, 
0.42265, 0.417664, 
0.42265, 0.413879, 
0.42265, 0.416443, 
0.42265, 0.411652, 
0.42265, 0.414612, 
0.42265, 0.424194, 
0.42265, 0.410522, 
0.42265, 0.413544, 
0.42265, 0.417877, 
0.42265, 0.411377, 
0.42265, 0.412903, 
0.42265, 0.420471, 
0.42265, 0.418549, 
0.42265, 0.410614, 
0.42265, 0.421356, 
0.42265, 0.417999, 
0.42265, 0.415344, 
0.42265, 0.41452, 
0.42265, 0.413544, 
0.42265, 0.419037, 
0.42265, 0.418091, 
0.42265, 0.41684, 
0.42265, 0.415558, 
0.42265, 0.41571, 
0.42265, 0.420685, 
0.42265, 0.411621, 
0.42265, 0.414734, 
0.42265, 0.418182, 
0.42265, 0.413574, 
0.42265, 0.414825, 
0.42265, 0.41629, 
0.42265, 0.415222, 
0.42265, 0.414215, 
0.42265, 0.417908, 
0.42265, 0.415405, 
0.42265, 0.416718, 
0.42265, 0.419769, 
0.42265, 0.417206, 
0.42265, 0.415436, 
0.42265, 0.410645, 
0.42265, 0.416779, 
0.42265, 0.415375, 
0.42265, 0.415131, 
0.42265, 0.416229, 
0.42265, 0.414581, 
0.42265, 0.418243, 
0.42265, 0.414368, 
0.42265, 0.412262, 
0.42265, 0.41452, 
0.42265, 0.41983, 
0.42265, 0.419189, 
0.42265, 0.414398, 
0.42265, 0.416168, 
0.42265, 0.416351, 
0.42265, 0.415009, 
0.42265, 0.417694, 
0.42265, 0.417267, 
0.42265, 0.413727, 
0.42265, 0.412781, 
0.42265, 0.418579, 
0.42265, 0.41214, 
0.42265, 0.414276, 
0.42265, 0.419189, 
0.42265, 0.414734, 
0.42265, 0.419861, 
0.42265, 0.417572, 
0.42265, 0.413879, 
0.42265, 0.416748, 
0.42265, 0.417328, 
0.42265, 0.411896, 
0.42265, 0.417145, 
0.42265, 0.411835, 
0.42265, 0.419067, 
0.42265, 0.413849, 
0.42265, 0.413666, 
0.42265, 0.416718, 
0.42265, 0.420868, 
0.42265, 0.410004, 
0.42265, 0.422699, 
0.42265, 0.411804, 
0.42265, 0.420624, 
0.42265, 0.41568, 
0.42265, 0.413177, 
0.42265, 0.41687, 
0.42265, 0.418091, 
0.42265, 0.412537, 
0.42265, 0.414886, 
0.42265, 0.420746, 
0.42265, 0.414062, 
0.42265, 0.412537, 
0.42265, 0.412872, 
0.42265, 0.422241, 
0.42265, 0.413696, 
0.42265, 0.413574, 
0.42265, 0.42453, 
0.42265, 0.413635, 
0.42265, 0.417572, 
0.42265, 0.416687, 
0.42265, 0.412781, 
0.42265, 0.417664, 
0.42265, 0.412476, 
0.42265, 0.417847, 
0.42265, 0.416382, 
0.42265, 0.411957, 
0.42265, 0.419403, 
0.42265, 0.411835, 
0.42265, 0.415161, 
0.42265, 0.412018, 
0.42265, 0.412292, 
0.42265, 0.420898, 
0.42265, 0.414825, 
0.42265, 0.414276, 
0.42265, 0.413086, 
0.42265, 0.417633, 
0.42265, 0.413208, 
0.42265, 0.419647, 
0.42265, 0.41391, 
0.42265, 0.417419, 
0.42265, 0.41684, 
0.42265, 0.414459, 
0.42265, 0.418121, 
0.42265, 0.416016, 
0.42265, 0.412506, 
0.42265, 0.41748, 
0.42265, 0.417877, 
0.42265, 0.412018, 
0.42265, 0.416962, 
0.42265, 0.419128, 
0.42265, 0.415283, 
0.42265, 0.415192, 
0.42265, 0.417297, 
0.42265, 0.417023, 
0.42265, 0.416016, 
0.42265, 0.417969, 
0.42265, 0.417725, 
0.42265, 0.414185, 
0.42265, 0.412354, 
0.42265, 0.415314, 
0.42265, 0.421906, 
0.42265, 0.416473, 
0.42265, 0.410065, 
0.42265, 0.417847, 
0.42265, 0.41571, 
0.42265, 0.414001, 
0.42265, 0.412598, 
0.42265, 0.413971, 
0.42265, 0.417358, 
0.42265, 0.413879, 
